Età;Genere
58;F
63;F
72;F
57;F
59;M
63;F
68;F
73;F
66;F
54;F
58;M
52;F
55;F
53;F
46;F
53;F
59;F
51;F
60;F
65;F
60;F
60;M
67;F
67;F
62;M
59;F
53;F
49;F
65;F
54;F
53;F
50;F
64;F
64;F
67;F
53;F
62;F
56;F
65;F
60;F
64;M
63;F
65;F
64;M
68;F
75;M
61;F
45;F
54;M
55;M
56;F
52;F
60;F
70;M
45;F
57;M
56;F
55;F
51;F
57;F
57;F
76;F
59;F
52;F
64;M
56;F
60;F
66;F
44;F
44;F
71;F
50;F
52;M
60;F
65;F
61;M
56;F
73;F
69;M
65;M
54;M
52;F
55;F
56;F
66;F
63;F
63;F
56;M
60;F
58;M
59;F
63;F
53;M
60;F
49;F
64;F
50;M
55;F
65;M
56;F
52;F
62;F
49;F
64;F
51;F
51;M
62;F
74;M
57;F
75;F
64;F
62;M
64;F
60;F
60;M
62;F
57;F
60;F
59;M
57;M
60;F
60;F
60;F
65;F
66;F
73;M
61;F
60;F
43;F
52;M
55;F
50;F
49;F
72;M
56;F
51;F
59;F
62;M
67;F
59;F
67;F
63;F
57;F
62;F
61;F
55;M
58;F
63;F
77;M
49;F
55;F
61;F
43;F
48;F
55;F
69;M
54;F
52;F
44;F
57;M
66;F
65;F
61;F
63;M
48;F
64;F
71;F
48;M
49;F
69;M
65;F
52;M
51;M
59;F
48;F
56;F
64;F
58;F
61;F
52;M
52;M
59;M
63;M
66;F
59;M
55;F
64;M
56;F
68;F
62;M
59;F
63;M
61;F
68;F
53;M
52;F
61;F
66;F
57;F
61;F
52;F
57;M
52;F
59;F
61;M
51;F
80;M
64;M
57;M
57;M
56;F
54;M
59;F
63;M
52;F
56;F
77;M
63;M
73;F
59;F
62;F
60;M
55;F
62;F
55;F
67;M
54;F
64;M
68;F
57;F
54;M
55;F
72;F
69;F
59;F
48;F
59;M
66;F
60;F
45;F
65;F
57;F
45;F
52;F
62;F
64;M
56;F
50;F
65;F
46;F
60;F
68;F
60;M
52;F
65;F
65;M
49;M
70;F
64;M
56;F
51;M
52;F
62;M
53;F
59;F
48;F
57;F
64;F
47;M
57;M
50;F
58;F
63;M
60;M
48;F
50;F
67;F
57;F
56;F
63;M
52;M
55;F
70;F
64;M
56;F
63;F
56;M
64;F
67;F
57;M
74;M
60;F
55;F
55;F
57;M
69;F
58;F
57;F
57;M
57;F
66;F
65;F
59;F
60;M
62;F
62;F
54;F
60;M
68;M
59;M
49;F
56;M
65;F
57;M
66;F
60;M
46;M
57;F
55;F
60;F
66;F
62;M
56;F
69;F
68;F
56;F
55;M
61;F
57;F
66;F
64;M
63;F
62;F
64;F
59;F
53;F
56;F
59;F
63;M
54;F
56;F
55;F
62;F
71;F
67;F
53;F
57;F
61;F
57;F
65;F
54;F
64;F
54;F
69;M
52;F
68;F
45;F
58;F
75;F
54;F
67;F
60;F
70;F
50;F
60;F
61;F
47;F
59;M
60;M
58;F
54;F
69;F
61;F
64;F
48;F
65;F
67;M
44;F
61;F
59;F
67;F
39;M
64;F
56;F
55;F
60;F
71;F
65;F
59;F
52;M
51;F
56;M
51;F
76;F
54;M
62;M
68;M
55;F
65;F
71;M
57;F
61;F
55;F
54;M
65;M
47;F
57;F
66;F
54;F
53;M
57;F
51;F
57;M
64;F
51;F
69;F
74;M
54;M
66;F
69;F
61;F
67;F
69;F
60;F
57;M
62;F
58;M
64;F
58;F
62;F
56;F
49;F
48;F
69;F
51;F
64;F
63;F
55;F
52;F
59;F
54;F
63;F
50;F
54;F
56;F
68;F
59;M
65;M
60;F
60;F
51;F
67;F
50;F
60;M
64;M
58;M
56;M
52;F
58;F
63;F
64;F
47;F
65;M
57;F
52;M
46;M
51;F
59;F
60;F
53;F
65;F
64;F
65;F
56;F
67;F
55;F
60;F
56;F
45;F
58;F
59;M
57;M
54;F
59;M
43;F
57;M
62;F
57;F
67;F
54;F
61;F
53;F
67;F
63;F
58;F
53;F
62;F
53;F
67;F
58;F
66;F
57;M
61;F
48;F
74;F
50;F
50;F
66;F
50;F
64;F
62;F
71;F
54;F
63;F
60;F
66;F
63;F
64;M
58;F
68;F
59;F
43;F
68;F
58;F
58;F
64;F
51;F
61;F
63;F
68;M
62;F
47;F
66;M
60;F
61;F
60;M
50;F
54;F
64;F
58;F
60;M
54;F
57;F
42;F
54;F
55;F
53;F
56;F
57;F
60;F
75;F
55;F
56;M
67;M
58;F
47;F
60;F
65;F
76;M
57;M
63;F
65;F
53;M
57;F
58;F
57;F
77;M
63;F
57;F
55;F
70;F
49;F
60;F
64;F
59;F
65;M
64;M
50;F
60;F
51;M
62;F
51;F
61;M
59;M
51;F
71;M
58;F
59;F
63;M
68;F
57;F
61;F
61;M
59;F
54;F
63;F
52;F
52;F
61;F
60;F
68;F
55;F
55;M
68;F
48;M
61;F
60;F
61;F
69;F
72;F
50;F
58;M
56;F
66;F
56;M
67;F
37;F
53;F
56;F
53;F
56;M
70;M
55;M
52;F
62;F
62;F
63;F
55;F
59;F
51;F
58;F
66;F
60;M
69;M
55;M
50;F
53;F
71;F
62;F
73;M
71;F
62;M
49;F
58;F
72;F
62;F
71;F
69;F
57;F
70;F
64;F
71;F
66;F
60;F
51;M
58;M
51;M
45;F
62;M
59;F
67;F
71;F
70;F
71;F
67;F
50;F
56;F
57;F
66;F
60;F
60;F
60;M
69;F
52;F
57;F
71;F
62;F
67;F
70;F
69;F
69;F
65;M
46;M
74;F
71;M
61;F
57;F
51;M
70;F
61;M
51;F
71;M
54;F
59;M
71;F
60;F
47;F
63;F
58;F
51;F
57;M
58;F
58;F
64;F
61;F
67;F
49;F
48;F
54;F
53;M
59;F
68;F
65;F
61;M
56;F
63;F
53;F
42;F
52;F
73;F
56;F
58;F
60;M
56;F
55;M
59;F
51;F
68;F
59;F
60;F
64;F
61;M
64;F
57;F
60;F
43;F
59;M
64;F
64;M
64;M
65;F
65;M
61;M
58;F
62;F
77;M
51;M
48;F
70;F
57;F
67;M
62;F
53;F
63;F
60;F
58;F
57;F
63;F
55;F
57;M
60;F
64;F
59;F
52;M
60;M
53;M
71;F
65;F
49;F
48;M
69;F
45;F
42;F
62;M
57;F
57;F
64;M
76;M
45;F
55;F
66;F
68;F
58;F
66;F
64;F
66;M
52;F
59;M
59;F
57;F
54;F
64;F
60;M
50;M
48;M
55;F
57;F
62;M
43;F
57;M
51;F
69;F
62;F
60;F
60;F
56;M
68;M
58;M
64;F
44;F
72;F
70;F
57;F
70;F
59;F
54;F
60;F
67;M
61;M
53;F
62;F
58;F
65;F
73;F
71;M
64;M
57;F
55;F
50;F
59;F
51;F
66;M
60;F
66;F
52;F
56;F
54;M
59;F
56;F
64;F
53;M
55;M
62;F
62;F
63;M
76;F
60;M
63;M
62;F
62;F
57;M
63;M
52;F
63;F
63;M
58;F
61;F
52;F
62;F
52;M
53;F
63;F
68;F
67;F
61;F
66;F
60;F
54;F
56;F
63;F
70;M
60;F
51;F
50;F
63;F
51;F
50;F
48;M
71;F
55;F
61;F
70;F
74;M
62;F
47;F
61;F
69;F
53;F
71;F
55;F
73;F
67;M
58;F
61;F
65;F
55;F
81;F
64;F
52;F
67;F
56;F
82;F
62;F
59;M
51;F
45;F
76;F
62;F
64;F
65;F
56;M
66;M
56;F
48;F
64;F
67;F
67;F
68;F
57;M
55;F
49;F
62;M
63;M
57;F
67;F
53;F
68;M
54;F
66;F
61;M
57;F
64;F
52;F
54;F
38;F
64;F
56;F
65;F
63;F
51;F
52;F
66;F
59;F
65;M
54;M
72;M
57;F
52;F
69;F
70;F
54;F
64;M
56;F
61;F
61;M
62;F
64;M
64;M
69;F
50;M
54;F
65;M
60;F
56;F
58;F
56;F
62;M
69;M
59;F
48;F
66;F
66;F
57;M
63;M
61;F
57;F
66;F
63;F
54;F
51;F
56;M
59;F
52;F
54;F
63;F
65;F
56;F
55;F
50;M
58;F
69;F
51;M
69;M
63;F
62;F
65;F
59;F
58;F
57;F
47;F
59;F
54;M
65;F
56;F
54;F
67;F
62;F
62;F
48;F
47;M
66;F
56;M
62;F
71;F
58;F
63;F
64;F
61;F
52;F
71;F
52;F
54;F
49;F
54;M
48;F
62;F
52;F
59;F
57;M
60;M
61;F
56;F
46;M
70;F
50;M
56;F
66;F
62;F
55;M
59;M
58;F
71;F
64;F
68;M
70;F
73;F
57;F
61;F
62;F
53;F
52;M
53;F
54;M
70;M
62;M
59;M
58;F
69;M
65;F
46;F
68;M
50;M
47;F
65;F
48;M
50;F
60;M
64;F
66;M
41;F
56;F
50;F
66;F
65;F
70;F
50;M
52;F
53;M
54;F
62;M
63;M
81;F
68;F
58;F
66;M
60;F
57;F
55;F
56;F
54;F
57;F
62;F
55;F
70;F
73;F
48;F
68;F
62;F
65;M
54;M
51;F
48;M
61;M
65;F
60;F
55;M
69;F
56;F
47;M
61;F
62;M
63;M
62;M
61;F
57;F
61;F
76;F
54;M
60;M
70;M
67;M
63;F
62;F
56;F
53;F
63;F
70;F
66;F
65;F
54;F
62;F
57;F
61;F
55;F
56;F
61;F
59;F
58;F
65;F
69;M
64;F
67;F
51;F
65;F
53;F
60;F
59;F
69;M
56;F
58;F
58;F
47;F
47;F
61;F
55;F
62;M
60;F
53;F
71;F
56;F
53;F
51;F
60;F
61;F
57;F
54;M
63;M
69;M
68;M
58;F
66;M
67;F
64;M
58;F
52;M
69;F
51;F
51;F
57;F
56;F
52;F
68;F
56;F
54;F
60;M
53;F
70;M
60;M
62;F
67;F
48;F
68;F
54;F
60;M
57;M
60;F
66;F
68;F
61;F
53;F
61;F
74;F
59;M
56;F
63;M
57;F
52;F
50;F
56;F
54;F
62;M
64;F
59;M
59;M
68;F
57;M
63;F
57;M
58;F
59;F
51;F
68;M
57;F
64;F
66;F
72;M
61;F
69;F
56;M
58;F
59;F
54;F
65;F
55;M
51;F
69;F
69;F
66;F
52;M
58;F
57;M
65;F
51;F
65;F
61;M
64;M
60;F
62;F
52;F
56;F
63;M
51;F
71;M
63;F
67;M
58;M
60;F
61;F
61;F
61;F
68;F
54;F
59;F
62;F
67;F
59;M
66;F
50;F
52;F
56;F
56;M
73;F
51;F
68;F
52;F
67;F
59;F
75;F
57;F
67;F
53;F
60;F
52;M
60;M
64;F
62;M
58;F
62;M
59;M
64;F
53;F
56;F
43;M
57;F
66;F
65;M
67;M
67;F
65;F
59;M
66;F
51;F
58;F
69;M
68;F
67;F
53;F
58;F
68;F
57;F
59;F
60;F
61;M
53;M
49;F
63;M
72;M
63;F
56;F
72;M
49;F
64;F
54;F
59;F
64;F
71;F
54;F
54;F
66;F
57;F
67;F
57;F
58;F
62;F
41;M
75;F
52;F
46;F
69;F
55;F
63;F
64;F
60;M
54;F
68;F
53;M
54;M
59;F
56;F
65;F
62;F
70;F
58;F
67;F
59;F
60;M
54;F
61;F
50;F
65;F
73;M
69;F
65;F
62;F
57;F
69;M
55;M
65;F
59;F
67;F
64;F
50;F
56;F
61;M
55;M
57;F
43;F
65;F
65;F
52;F
69;F
59;F
62;F
60;F
64;F
60;F
76;F
59;M
62;F
43;F
65;F
61;M
55;F
53;F
63;F
63;F
57;F
64;F
64;F
67;F
50;F
59;F
60;F
66;F
59;F
60;F
49;F
52;M
54;F
64;F
52;F
42;F
50;M
54;F
73;F
60;F
54;F
51;M
53;F
68;M
50;F
68;F
55;F
62;F
59;F
69;M
63;F
52;F
71;M
61;M
56;F
54;F
44;F
59;F
71;M
65;F
60;F
64;F
59;M
53;F
61;M
60;F
57;M
54;M
57;F
56;M
61;M
59;F
59;F
69;F
52;F
63;F
61;M
67;F
60;M
66;M
57;F
65;F
73;F
53;F
70;M
52;F
44;F
72;F
57;F
58;F
51;F
64;F
57;M
61;F
71;F
58;M
61;F
65;F
73;F
65;M
56;F
64;F
56;M
55;M
62;M
56;F
56;F
48;F
64;M
67;F
57;F
56;F
56;F
53;F
53;M
55;F
65;F
54;F
59;F
70;F
62;M
70;F
55;F
67;F
47;F
54;M
55;F
48;F
56;M
60;F
61;F
60;M
55;F
48;F
55;F
64;F
48;M
63;F
56;F
53;F
54;F
55;F
60;M
61;F
63;F
55;F
57;F
52;M
52;M
64;F
71;F
54;F
52;F
67;F
66;F
49;F
52;F
72;F
60;M
63;M
62;F
71;F
67;F
61;F
57;F
66;M
60;F
59;F
64;F
67;M
62;M
45;M
64;F
54;M
59;M
38;F
76;M
61;F
54;F
63;F
54;F
52;F
50;F
56;F
55;F
61;F
71;F
70;F
61;M
61;F
59;F
58;M
59;M
44;F
67;M
57;F
65;F
53;M
54;M
60;F
71;F
53;F
53;F
59;F
52;F
72;F
63;F
63;F
64;F
58;F
56;F
61;F
70;F
57;F
64;F
53;F
54;M
60;F
55;F
65;M
46;F
60;F
71;F
63;M
72;F
59;F
42;M
56;F
61;F
61;F
59;F
64;M
55;F
69;M
58;F
54;F
54;F
51;F
65;F
56;F
65;M
54;F
62;F
68;F
62;M
57;F
59;F
52;F
61;F
57;F
66;F
62;F
68;F
61;F
56;F
51;F
76;F
59;M
49;F
73;F
71;M
60;M
60;F
55;F
64;F
63;F
69;M
68;F
71;F
70;F
54;F
72;F
64;F
63;F
73;F
64;M
62;F
53;F
64;F
56;M
60;M
64;F
61;F
65;F
58;F
58;F
67;M
55;F
47;F
55;M
55;F
72;F
55;M
60;F
53;M
66;M
64;M
52;M
59;F
62;F
51;M
66;F
59;F
65;M
63;F
70;F
52;F
54;F
56;F
64;M
57;F
58;F
64;F
58;F
62;F
67;F
60;F
64;F
72;F
57;F
56;F
57;M
66;F
64;F
57;M
56;F
55;F
49;F
56;F
56;F
61;M
37;F
55;F
70;F
55;F
72;F
64;F
64;F
75;F
55;F
75;M
74;F
66;F
51;F
69;F
59;F
59;F
64;F
51;F
51;F
58;F
68;F
65;F
62;M
59;F
56;F
56;M
70;M
59;M
67;M
56;F
57;F
58;F
53;F
57;F
55;M
58;F
54;F
61;M
59;M
55;F
67;F
66;M
50;M
56;F
56;F
63;M
67;M
58;F
56;F
58;F
62;M
50;F
73;F
47;F
46;F
60;M
71;F
60;M
61;F
66;F
